b0,962.6546250000002,2232.7759999999994,滨江楼
b1,954.9871250000002,2536.4089999999997,揽江楼
b2,879.8456250000003,2387.6594999999998,阅江楼
b3,1169.6771250000002,2111.6295,临江楼A座
b4,1171.2106250000002,2283.3814999999995,临江楼B座
b5,1227.9501250000003,2386.1259999999997,临江楼C座
b6,769.4336250000002,1777.3264999999997,西苑田径场
b7,838.4411250000002,1999.6839999999997,西苑集装箱
b8,923.167,1571.8374999999996,文园5幢
b9,920.1,1550.3684999999998,文园8幢
b10,910.899,1472.1599999999996,文园6幢
b11,907.8320000000001,1444.5569999999996,文园9幢
b12,898.6310000000001,1367.8819999999996,文园7幢
b13,901.698,1323.4104999999997,文园10幢
b14,515.2560000000001,1354.0804999999998,西苑老食堂
b15,433.9805,1254.4029999999998,西苑新食堂
b16,504.5215,1679.1824999999997,文园1幢
b17,613.4,1665.3809999999999,文园19幢
b18,460.05,1680.7159999999997,文园2幢
b19,573.529,1666.9144999999996,文园3幢
b20,699.2760000000001,1498.2294999999997,文园4幢
b21,586.8193333333334,770.242972222222,文园17幢
b22,810.7103333333334,780.977472222222,文园16幢
b23,959.4598333333336,791.7119722222219,文园14幢
b24,908.8543333333334,719.6374722222221,西苑北门
b25,571.4843333333333,856.118972222222,文园21幢
b26,801.5093333333334,871.453972222222,文园15幢
b27,551.5488333333334,975.731972222222,文园20幢
b28,884.3183333333334,1046.272972222222,文园12幢
b29,896.5863333333335,926.659972222222,文园13幢
b30,944.1248333333335,1168.952972222222,文园18幢
b31,622.0898333333334,1271.6974722222221,滨江服务楼
b32,1371.9713333333334,1300.833972222222,气象观测基地
b33,2168.8071428571434,1670.6630555555557,图书馆
b34,1913.2238095238095,1352.0358333333336,学科楼1号
b35,1938.7821428571428,1568.4297222222224,学科楼2号
b36,1737.723253968254,1486.6430555555557,学科楼3号
b37,1652.5288095238095,1861.4986111111111,学科楼4号
b38,1684.9026984126986,2103.4508333333333,见山园
b39,1638.8976984126984,2403.335277777778,水云方
b40,1783.728253968254,1801.8625,中苑田径场
b41,2030.792142857143,2234.650277777778,沁园39幢
b42,2018.8649206349205,2137.5286111111113,沁园38幢
b43,2006.9376984126984,2038.703055555556,沁园37幢
b44,1996.7143650793653,1946.6930555555557,沁园36幢
b45,1984.7871428571432,1861.4986111111111,沁园35幢
b46,2223.331587301587,2064.261388888889,中苑食堂
b47,2644.192142857143,2130.713055555556,中苑南门
b48,2281.2638095238094,1699.6291666666668,沁园31幢
b49,2289.783253968254,1810.3819444444446,沁园32幢
b50,2303.4143650793653,1898.9841666666666,沁园33幢
b51,2313.6376984126987,1992.6980555555558,沁园34幢
b52,2075.0932539682544,1699.6291666666668,沁园40幢
b53,2727.6826984126983,1875.1297222222222,沁园30幢
b54,2860.5860317460315,1657.0319444444447,沁园食堂
b55,2702.1243650793654,1575.245277777778,风云赛场
b56,1870.3710039682544,1250.7822361111114,人才公寓
b57,2710.7290039682543,1131.1692361111113,足球场
b58,2928.4860039682544,1460.8717361111114,风云剧场
b59,2870.2130039682543,1192.5092361111112,沁园22幢
b60,2887.0815039682543,1275.3182361111114,沁园23幢
b61,2907.0170039682544,1376.5292361111112,沁园24幢
b62,2874.8135039682543,1059.0947361111112,1960食堂
b63,3011.2950039682546,916.4792361111113,长望楼
b64,2758.2675039682545,743.1937361111113,启明楼
b65,3046.5655039682542,770.7967361111113,北辰楼
b66,2877.8805039682543,803.0002361111113,长望塔
b67,3273.5235039682543,735.5262361111113,明远楼
b68,3153.910503968254,845.9382361111115,藕舫楼
b69,3247.4540039682547,1066.7622361111112,明德楼
b70,3301.1265039682544,1056.0277361111114,尚贤楼
b71,3124.7740039682544,1088.2312361111115,南阶
b72,3166.1785039682545,1312.1222361111113,理政楼
b73,2942.2875039682544,1540.6137361111114,沁园25幢
b74,3103.3050039682544,1514.5442361111113,沁园26幢
b75,3207.583003968254,1505.3432361111113,中国气象谷
b76,3411.538503968254,1328.9907361111113,大学生活动中心
b77,3388.5360039682546,1178.7077361111114,教职工活动中心
b78,3350.1985039682545,1485.4077361111115,气象学院门
b79,4635.55,1568.7705,东苑南门
b80,4200.036,1128.656,气象楼
b81,4002.2145,1246.7355,文德楼东
b82,3782.9240000000004,967.6385,文德楼
b83,3762.9885,892.4970000000001,晖园11幢
b84,3744.5865000000003,792.8195000000001,晖园12幢
b85,3744.5865000000003,751.4150000000001,东苑篮球场
b86,3733.852,696.209,晖园13幢
b87,3720.0505000000003,584.2635,晖园14幢
b88,3706.2490000000003,504.5215,东苑食堂
b89,3686.3135,421.71250000000003,东苑北门
b90,3861.1325,555.1270000000001,硕园5幢
b91,3963.877,435.514,硕园4幢
b92,3989.9464999999996,573.529,硕园3幢
b93,4009.882,662.4720000000001,硕园2幢
b94,4025.217,759.0825,硕园1幢
b95,4040.552,855.693,硕园6幢
b96,4531.272,317.4345,南气宾馆
b97,4745.962,771.3505,东苑体育馆
b98,4787.3665,536.725,东苑田径场
b99,4548.1405,1079.584,行政楼
b100,4646.2845,966.105,培训楼
b101,4966.786,829.6235,大门
